block_size,i_max,t_max,time_seconds,normalized_time
32,1000000,100,1.000000,0.000000010
64,1000000,100,0.000000,0.000000000
128,1000000,100,0.000000,0.000000000
256,1000000,100,0.000000,0.000000000
512,1000000,100,0.000000,0.000000000
1024,1000000,100,0.000000,0.000000000
32,1000000,10000,0.000000,0.000000000
64,1000000,10000,0.000000,0.000000000
128,1000000,10000,0.000000,0.000000000
256,1000000,10000,0.000000,0.000000000
512,1000000,10000,0.000000,0.000000000
1024,1000000,10000,0.000000,0.000000000
32,1000000,100000,9.000000,0.000000007
64,1000000,100000,9.000000,0.000000007
128,1000000,100000,9.000000,0.000000007
256,1000000,100000,9.000000,0.000000007
512,1000000,100000,9.000000,0.000000007
1024,1000000,100000,9.000000,0.000000007
