schedule,i_max,t_max,num_threads,time_seconds,normalized_time
static,1000,100,4,0.0172915,1.72915e-07
static,10000,100,4,0.155573,1.55573e-07
static,100000,100,4,1.37763,1.37763e-07
static,1000000,100,4,13.8819,1.38819e-07
static,10000000,100,4,109.298,1.09298e-07
dynamic,1000,100,4,0.0113763,1.13763e-07
dynamic,10000,100,4,0.111347,1.11347e-07i
dynamic,100000,100,4,1.10188,1.10188e-07
dynamic,1000000,100,4,10.908,1.0908e-07
dynamic,10000000,100,4,108.838,1.08838e-07
guided,1000,100,4,0.0114614,1.14614e-07
guided,10000,100,4,0.114764,1.14764e-07
guided,100000,100,4,1.13479,1.13479e-07
guided,1000000,100,4,11.152,1.1152e-07
guided,10000000,100,4,86.1334,8.61334e-08
