num_threads,i_max,t_max,scheduler,time_seconds,normalized_time
1,10000,100,static,0.0193722,1.93722e-08
2,10000,100,static,0.0366799,3.66799e-08
4,10000,100,static,0.159479,1.59479e-07
8,10000,100,static,0.110607,1.10607e-07
16,10000,100,static,0.15733,1.5733e-07
26,10000,100,static,0.0717131,7.17131e-08
1,10000,100,dynamic,0.018179,1.8179e-08
2,10000,100,dynamic,0.0440475,4.40475e-08
4,10000,100,dynamic,0.100135,1.00135e-07
8,10000,100,dynamic,0.158811,1.58811e-07
16,10000,100,dynamic,0.111912,1.11912e-07
26,10000,100,dynamic,0.0990772,9.90772e-08
1,10000,100,guided,0.0184797,1.84797e-08
2,10000,100,guided,0.0445096,4.45096e-08
4,10000,100,guided,0.134002,1.34002e-07
8,10000,100,guided,0.112155,1.12155e-07
16,10000,100,guided,0.161069,1.61069e-07
26,10000,100,guided,0.098195,9.8195e-08
