simulate_version,i_max,t_max,num_threads,time_seconds,normalized_time
1,1000,100,4,0.00019213,1.9213e-09
1,10000,100,4,0.00174685,1.74685e-09
1,100000,100,4,0.0185112,1.85112e-09
1,1000000,100,4,0.196699,1.96699e-09
1,10000000,100,4,2.1707,2.1707e-09
2,1000,100,4,0.00746928,7.46929e-08
2,10000,100,4,0.00878228,8.78228e-09
2,100000,100,4,0.0142689,1.42689e-09
2,1000000,100,4,0.075572,7.5572e-10
2,10000000,100,4,0.80111,8.0111e-10
3,1000,100,4,0.00170678,1.70678e-08
3,10000,100,4,0.00179002,1.79002e-09
3,100000,100,4,0.0100071,1.00071e-09
3,1000000,100,4,0.0760648,7.60648e-10
3,10000000,100,4,0.93114,9.3114e-10
